Samples	input	both_kept	fwd_only	rev_only	dropped	human_GRch38	phix174	host	nonhost
DNAfreewater1	4302	3121	703	186	292	290	0	290	2792
DNAfreewater2	2809	1853	889	20	47	107	0	107	1737
DNAfreewater3	7672	6887	397	27	361	1355	0	1355	5446
DNAfreewater4	2521	1923	401	51	146	297	0	297	1608
DNAfreewater5	4956	3758	327	316	555	416	0	416	3313
Extractblankswab1	5401	4150	552	184	515	797	0	797	3278
Extractblankswab2	4003	2548	685	203	567	217	0	217	2308
Extractblankswab3	12109	11054	514	105	436	1144	0	1144	9777
Extractblankswab4	3436	2717	451	53	215	221	0	221	2469
Extractblankswab5	1623	961	330	109	223	68	0	68	887
Extractblankswab6	4246	2796	592	170	688	300	0	300	2469
Extractemptywell1	11442	9763	851	139	689	1289	0	1289	8141
Extractemptywell2	3603	2272	688	183	460	155	0	155	2095
Extractemptywell3	3777	3092	409	79	197	521	0	521	2528
Extractemptywell4	3701	2684	481	130	406	202	0	202	2454
Extractemptywell5	2714	1463	592	164	495	126	0	126	1320
Extractemptywell6	2456	1149	344	369	594	228	0	228	906
inf124Cat1T7n1	9100970	8863742	143550	10124	83554	158397	2	158399	8635071
inf124Cat1T8n1	7980667	7848076	61448	9511	61632	60583	1	60584	7753334
inf125Cat1T7n1	8054223	7892068	84081	12539	65535	30561	2	30563	7834806
inf125Cat1T8n1	8410069	8262923	73259	10105	63782	32178	0	32178	8201366
inf127Cat1T7n1	7845661	7712091	72423	8600	52547	16942	4	16946	7662957
inf127Cat1T8n1	9583698	9443941	66303	13296	60158	21036	2	21038	9387063
inf128Cat3T7n1	8751613	8592161	63940	10701	84811	552604	1	552605	7992285
inf129Cat1T7n1	8822773	8592549	128420	12472	89332	63294	2	63296	8478173
inf129Cat1T8n1	8510922	8359526	50151	8316	92929	214990	6	214996	8067382
inf132Cat3T8n1	8343302	8204342	61272	13118	64570	25407	1	25408	8155186
inf133Cat3T7n1	9342023	9213734	40083	8035	80171	2538	1	2539	9186820
inf133Cat3T8n1	9110832	8973814	47337	7302	82379	18479	2	18481	8932743
inf134Cat1T8n1	9465430	9314917	62364	10671	77478	28846	2	28848	9261502
inf136Cat1T7n1	9865009	9696622	57786	8761	101840	76868	1	76869	9560427
inf136Cat1T8n1	8532466	8376971	55234	6501	93760	34081	1	34082	8294139
inf139Cat3T8n1	9392514	9152604	135301	8965	95644	121308	0	121308	8917729
inf140Cat3T8n1	8470395	8315775	53064	9121	92435	21735	0	21735	8257371
inf141Cat2T7n1	8243307	8086140	74240	13977	68950	5126	6	5132	8043185
inf142Cat3T8n1	9150761	8961206	68147	10812	110596	79927	3	79930	8845829
inf144Cat3T7n1	10384090	10198005	54535	13081	118469	97917	3	97920	10070222
inf144Cat3T8n1	9393173	9241135	60069	10872	81097	6215	2	6217	9217341
inf145Cat1T8n1	8552009	8409238	59505	7295	75971	6747	3	6750	8357120
