Samples	input	both_kept	fwd_only	rev_only	dropped	human_GRch38	phix174	host	nonhost
inf146Cat1T8n1	9973639	9733717	143578	12052	84292	9211	1	9212	9687529
inf147Cat1T8n1	8676604	8522488	62292	11983	79841	59556	2	59558	8429240
inf148Cat3T7n1	9379679	9162835	53660	12283	150901	3992	6	3998	9106124
inf148Cat3T8n1	9484758	9307312	53106	8447	115893	15088	1	15089	9208794
inf150Cat3T7n1	9686928	9493711	58401	8536	126280	4676988	3	4676991	4547936
inf150Cat3T8n1	8753373	8616835	51173	11046	74319	36997	0	36997	8536853
inf153Cat3T7n1	9338070	9180642	59621	9764	88043	22028	1	22029	9026188
inf153Cat3T8n1	7542448	7384188	64177	8551	85532	21703	2	21705	7307812
inf154Cat2T7n1	9585114	9326940	147204	14083	96887	50676	3	50679	9243500
inf154Cat2T8n1	9171153	8987551	72669	14842	96091	16600	1	16601	8920579
inf156Cat2T7n1	9273979	9138894	66032	9734	59319	10827	1	10828	9102388
inf156Cat2T8n1	8458045	8319990	67557	8485	62013	68618	1	68619	8230680
inf158Cat3T7n1	9409343	9284590	52139	11331	61283	6524	2	6526	9237200
inf158Cat3T8n1	8849384	8717311	56886	9413	65774	23806	1	23807	8640714
inf159Cat3T7n1	9286757	9150148	51611	9350	75648	34804	0	34804	9050865
inf160Cat3T8n1	8800264	8657017	56849	11522	74876	1834437	1	1834438	6704090
inf163Cat3T8n1	8853320	8699317	57917	10423	85663	28974	3	28977	8570172
inf164Cat3T8n1	8103087	7974294	47993	8585	72215	104736	0	104736	7828931
inf165Cat3T8n1	7771607	7627001	56057	12859	75690	47681	3	47684	7538158
inf167Cat3T0n1	5456257	5331505	21496	4074	99182	5055326	0	5055326	26308
inf167Cat3T1n1	8152551	7936583	29167	6226	180575	7528243	1	7528244	82794
inf167Cat3T2n1	10354801	10195791	37535	6531	114944	4858923	2	4858925	5012239
inf167Cat3T3n1	9290658	9180891	32999	5620	71148	17522	3	17525	9118417
inf167Cat3T4n1	9400612	9286920	40622	6165	66905	235539	1	235540	9001171
inf167Cat3T5n1	9004950	8877021	34655	4804	88470	478445	2	478447	8249548
inf167Cat3T6n1	9409306	9261285	72376	10536	65109	30541	1	30542	9150703
inf168Cat3T0n1	8525827	8356879	41458	5532	121958	7906091	3	7906094	14445
inf168Cat3T1n1	9747353	9638392	35700	5067	68194	827384	2	827386	8717317
inf168Cat3T2n1	10022026	9918643	30093	5025	68265	106528	0	106528	9716879
inf168Cat3T3n1	8954691	8828425	47904	8565	69797	13866	2	13868	8772979
inf168Cat3T4n1	9541085	9409641	52493	10126	68825	10746	1	10747	9202034
inf168Cat3T5n1	8901469	8750166	34343	7510	109450	15530	0	15530	8639041
inf168Cat3T6n1	8664038	8514746	30258	4948	114086	63447	1	63448	8237377
inf169Cat3T1n1	8242024	8091503	76433	17769	56319	18201	5	18206	8038639
inf169Cat3T3n1	7668304	7531765	43816	7302	85421	4257673	0	4257673	3027651
inf169Cat3T4n1	8477361	8353754	60872	11698	51037	1959216	0	1959216	6238699
inf169Cat3T5n1	8648747	8513050	58031	11584	66082	1098360	1	1098361	7301940
inf170Cat3T1n1	9426093	9245518	90134	16022	74419	2801	1	2802	9154174
inf170Cat3T2n1	8065957	7923808	66077	14546	61526	11054	1	11055	7842919
inf170Cat3T4n1	9267217	9070167	90530	29933	76587	381074	2	381076	8611901
inf170Cat3T5n1	8058549	7928973	47380	8008	74188	9113	1	9114	7862454
inf170Cat3T6n1	8794060	8663411	55800	8974	65875	33486	0	33486	8612781
inf170Cat3T8n1	7080584	6974217	39489	7988	58890	114786	0	114786	6838509
inf171Cat1T1n1	8924244	8810824	20210	4985	88225	231707	2	231709	8517514
inf171Cat1T2n1	8522275	8408337	18310	4397	91231	493382	1	493383	7813092
inf171Cat1T3n1	8027734	7905932	31267	7291	83244	22583	0	22583	7822862
inf171Cat1T4n1	10030975	9871102	39413	9357	111103	35351	3	35354	9766517
inf171Cat1T5n1	9795089	9624234	39612	7848	123395	307811	0	307811	9203218
inf171Cat1T6n1	9198706	9028533	36568	5693	127912	338360	1	338361	8531640
inf171Cat1T8n1	8814823	8659743	44418	9545	101117	133514	1	133515	8432862
inf172Cat3T1n1	9577460	9469480	72671	11182	24127	88329	1	88330	9365506
inf172Cat3T2n1	9058638	8918600	52034	9942	78062	172443	0	172443	8723596
inf172Cat3T3n1	8876846	8719506	52360	10185	94795	887673	0	887673	7756294
inf172Cat3T4n1	8288776	8164210	51363	9123	64080	3430	1	3431	8152421
inf172Cat3T5n1	9655162	9478129	60027	11426	105580	320585	1	320586	9119409
inf172Cat3T6n1	8608367	8468827	55153	8367	76020	4959	0	4959	8450808
inf172Cat3T7n1	9009871	8827840	57733	9283	115015	26623	2	26625	8770090
inf172Cat3T8n1	6940402	6826086	40450	8632	65234	9854	0	9854	6797530
inf173Cat3T1n1	8870845	8711856	38911	7270	112808	8272177	1	8272178	40221
inf173Cat3T3n1	8433673	8308625	17714	4197	103137	162400	0	162400	8011412
inf173Cat3T4n1	9120884	9052200	24828	4760	39096	182664	1	182665	8760940
inf173Cat3T5n1	7645462	7498018	39015	8362	100067	60277	1	60278	7396604
inf173Cat3T6n1	6926873	6784432	37135	7117	98189	1247403	1	1247404	5451582
inf173Cat3T7n1	9976887	9818189	69258	14367	75073	3412	1	3413	9778468
inf173Cat3T8n1	6726510	6621722	45084	10615	49089	3790	0	3790	6594382
inf174Cat3T0n1	9942619	9643413	39840	7362	252004	9107892	1	9107893	37498
inf174Cat3T1n1	7956645	7827859	21578	4227	102981	1436120	2	1436122	6247121
inf174Cat3T2n1	9292283	9224492	38096	5908	23787	554807	1	554808	8600305
inf174Cat3T3n1	11214391	11028810	54287	7783	123511	18863	0	18863	10846895
inf174Cat3T4n1	9149857	8954148	65190	11462	119057	24884	0	24884	8916980
inf174Cat3T5n1	15481901	15201364	97540	17014	165983	10670	0	10670	15160099
inf174Cat3T6n1	9775591	9594003	98623	15943	67022	7227	5	7232	9566910
inf174Cat3T7n1	9389230	9234213	56760	8739	89518	13069	2	13071	9183059
inf174Cat3T8n1	9204463	9036696	64026	10619	93122	12329	0	12329	9014906
inf175Cat3T2n1	10155672	9931863	34636	7497	181676	8023260	0	8023260	1448589
inf175Cat3T3n1	9237562	9070057	51110	9229	107166	336692	1	336693	8665503
inf175Cat3T4n1	9093575	8952937	62793	12951	64894	14851	3	14854	8892050
inf175Cat3T5n1	8732867	8625689	27591	5541	74046	55507	1	55508	8501688
inf175Cat3T6n1	9712393	9600814	46867	6600	58112	7092	2	7094	9478878
inf175Cat3T7n1	8015586	7884941	47037	7835	75773	3831	0	3831	7836623
inf176Cat3T1n1	11240622	10994012	46688	8443	191479	9717173	0	9717173	621144
inf176Cat3T2n1	8941836	8801489	48057	10623	81667	23206	0	23206	8716924
inf176Cat3T3n1	9395126	9260731	91322	13434	29639	16057	0	16057	9211798
inf176Cat3T4n1	8030793	7878447	63331	11597	77418	93498	3	93501	7749985
inf176Cat3T6n1	8349215	8172329	69562	15367	91957	40535	1	40536	8091797
inf176Cat3T7n1	7953270	7789216	55384	8784	99886	52077	1	52078	7666999
inf176Cat3T8n1	9179225	8986327	79993	12321	100584	9878	2	9880	8944365
inf177Cat3T2n1	9334119	9193167	27463	6623	106866	35098	2	35100	9106546
inf177Cat3T3n1	8218524	8072986	28175	6207	111156	3369848	1	3369849	4496075
inf177Cat3T4n1	9377745	9273901	54351	10388	39105	96501	1	96502	9120355
inf177Cat3T6n1	7992718	7855807	58413	10818	67680	8288	1	8289	7829473
inf177Cat3T7n1	6199500	6080203	46602	10345	62350	3873	1	3874	6065360
inf177Cat3T8n1	7782771	7616633	48566	8960	108612	34874	1	34875	7561151
inf178Cat3T1n1	9071981	8909388	75929	12510	74154	21919	2	21921	8866099
inf178Cat3T2n1	1463710	1416018	14529	14965	18198	27858	1	27859	1381738
inf178Cat3T3n1	8925413	8764259	66490	12613	82051	318649	0	318649	8395392
inf179Cat1T0n1	9338752	8926690	29771	7193	375098	8546478	1	8546479	89660
inf179Cat1T1n1	8981453	8779523	98126	16831	86973	10871	4	10875	8503954
inf179Cat1T3n1	8425139	8260891	60606	11750	91892	3506	1	3507	8227827
inf179Cat1T4n1	8091555	7920221	38205	7009	126120	344652	1	344653	7436236
inf180Cat3T0n1	8644919	8445192	44987	8261	146479	3578356	1	3578357	4687914
inf180Cat3T1n1	9099422	8940975	71022	14564	72861	5813	0	5813	8903420
inf180Cat3T2n1	9258778	9151895	52128	11912	42843	23224	1	23225	9092067
inf180Cat3T3n1	9252276	9141739	56717	12912	40908	5326	1	5327	9084082
inf180Cat3T4n1	9609843	9494642	68158	13495	33548	5261	3	5264	9438941
inf180Cat3T5n1	8679657	8449282	26678	8779	194918	5863	0	5863	8423363
inf180Cat3T6n1	8766321	8620649	65916	15814	63942	2921	0	2921	8571680
inf180Cat3T7n1	7652086	7541710	57642	11118	41616	44839	0	44839	7462753
inf181Cat3T1n1	6932303	6840671	45665	11297	34670	9475	0	9475	6773177
inf181Cat3T2n1	9510584	9383564	73020	12214	41786	113497	3	113500	9232842
inf181Cat3T3n1	37477840	36974506	212866	39536	250932	70938	2	70940	36800809
inf181Cat3T4n1	9947426	9835031	59326	11554	41515	5232	1	5233	9797038
inf181Cat3T6n1	9136400	8999355	68667	10430	57948	2452788	0	2452788	6370488
inf181Cat3T7n1	8893650	8772120	63976	11289	46265	450834	1	450835	8271806
inf181Cat3T8n1	7965229	7873937	52159	9072	30061	8776	1	8777	7851133
inf182Cat1T1n1	10661370	10525540	63570	7584	64676	9318662	1	9318663	489773
inf182Cat1T2n1	9435824	9275832	103932	15856	40204	35648	0	35648	9202341
inf182Cat1T3n1	10094513	9950567	90713	13875	39358	24186	0	24186	9893976
inf182Cat1T4n1	9392166	9255141	77171	12495	47359	268590	2	268592	8937945
inf182Cat1T5n1	9786028	9632755	92842	12028	48403	126489	1	126490	9459236
inf182Cat1T7n1	9937710	9803563	76973	11342	45832	37603	1	37604	9708143
inf184Cat1T8n1	8838947	8694222	90918	16561	37246	4204	3	4207	8658573
inf185Cat1T1n1	9576338	9390893	26821	5355	153269	3284707	0	3284707	5932695
inf185Cat1T2n1	9643076	9556318	38355	5863	42540	154101	2	154103	9323421
inf185Cat1T3n1	10029156	9954423	35309	6335	33089	67259	1	67260	9811385
inf187Cat3T0n1	8211572	7906970	24912	5774	273916	7658427	2	7658429	30960
inf187Cat3T2n1	7619195	7518034	40036	7615	53510	15413	3	15416	7490531
inf187Cat3T3n1	7434761	7335896	34479	7142	57244	233020	3	233023	7078956
inf187Cat3T4n1	7170260	7076730	35076	6908	51546	136403	2	136405	6920641
inf187Cat3T6n1	9800306	9665866	68656	15141	50643	620255	6	620261	8970240
inf188Cat3T1n1	7877585	7782017	54129	10135	31304	1690	0	1690	7754134
inf188Cat3T3n1	9406538	9297417	57713	11646	39762	4227	3	4230	9262096
inf188Cat3T4n1	9225880	9135142	49227	10749	30762	7511	2	7513	9099753
inf188Cat3T5n1	9198343	9084853	59236	10726	43528	8121	0	8121	9039328
inf188Cat3T6n1	9784929	9650631	86767	22818	24713	5198	3	5201	9604822
inf188Cat3T7n1	8452285	8370675	43690	7957	29963	1494	0	1494	8345324
inf189Cat1T1n1	9685907	9611545	42568	6349	25445	174385	2	174387	9383609
inf189Cat1T2n1	8550754	8488636	31140	6728	24250	34081	0	34081	8412214
inf189Cat1T3n1	9656664	9564744	39513	6585	45822	96003	0	96003	9420210
inf189Cat1T4n1	8861073	8744096	68565	12375	36037	18703	3	18706	8699094
inf189Cat1T5n1	9361408	9234234	87432	13597	26145	195345	1	195346	9000236
inf189Cat1T6n1	8812764	8680663	89289	15299	27513	324115	4	324119	8307379
inf189Cat1T7n1	8077591	7958664	66435	11434	41058	31666	0	31666	7889923
inf190Cat1T0n1	9012884	8836382	34134	5879	136489	8420322	0	8420322	42239
inf190Cat1T1n1	9257562	9175998	25504	4090	51970	164465	0	164465	8886051
inf190Cat1T2n1	9722496	9661272	15672	2576	42976	31704	0	31704	8925472
inf190Cat1T3n1	9426033	9308271	85169	12897	19696	5824	1	5825	9263880
inf191Cat2T0n1	9525901	9381272	34800	7199	102630	8995876	1	8995877	39890
inf191Cat2T1n1	9615987	9566765	25314	4610	19298	2204942	1	2204943	7143010
inf191Cat2T2n1	9340359	9240576	74181	10864	14738	14517	1	14518	9216542
inf191Cat2T3n1	8091918	8001975	62857	9697	17389	50691	1	50692	7940055
inf191Cat2T4n1	9574286	9456388	85443	10774	21681	835186	2	835188	8564447
inf191Cat2T5n1	8419355	8327911	55297	9702	26445	1137841	0	1137841	7119571
inf191Cat2T6n1	9685875	9566654	72361	11491	35369	50979	1	50980	9496791
inf191Cat2T7n1	8809673	8701291	64443	11625	32314	117786	0	117786	8557013
inf191Cat2T8n1	9375481	9241159	83963	13538	36821	45025	2	45027	9157026
inf192Cat1T8n1	9491839	9359020	83806	14273	34740	60256	1	60257	9246205
inf193Cat3T2n1	10214380	10045050	31258	5154	132918	3899733	1	3899734	5503542
inf193Cat3T3n1	6798290	6703158	60722	8863	25547	208166	1	208167	6458339
inf193Cat3T4n1	8634377	8514909	78748	11694	29026	46399	4	46403	8433980
inf193Cat3T5n1	8589783	8470934	69086	12406	37357	38205	1	38206	8389433
inf193Cat3T6n1	9643322	9537812	49874	9790	45846	12824	1	12825	9474381
inf193Cat3T7n1	8147184	8054870	42774	8535	41005	6678	1	6679	8003650
inf193Cat3T8n1	8504551	8410079	43904	6948	43620	408287	2	408289	7886035
inf194Cat1T1n1	8751757	8513450	28083	4722	205502	7055573	2	7055575	1153143
inf194Cat1T3n1	6861864	6769214	38057	7286	47307	20229	0	20229	6732367
inf194Cat1T4n1	8084418	8003357	46568	8084	26409	5206	1	5207	7970088
inf194Cat1T5n1	7831341	7744558	44268	8533	33982	4688	2	4690	7715178
inf194Cat1T6n1	9024707	8875901	73933	11009	63864	15239	2	15241	8773249
inf194Cat1T7n1	9668836	9508930	82389	12784	64733	11878	0	11878	9446878
inf195Cat1T1n1	9918451	9811210	51918	7031	48292	1272865	2	1272867	8410067
inf195Cat1T2n1	8892734	8736036	85956	12523	58219	12738	0	12738	8697093
inf195Cat1T3n1	8754771	8578040	101692	14466	60573	40304	1	40305	8512802
inf195Cat1T4n1	7909976	7757002	72630	9860	70484	28025	0	28025	7688741
inf195Cat1T5n1	8944997	8773508	84850	11447	75192	18756	4	18760	8694309
inf195Cat1T6n1	10217898	10064150	86177	15233	52338	31007	0	31007	9993578
inf195Cat1T7n1	8853412	8710726	70898	13272	58516	36522	2	36524	8635295
inf196Cat1T1n1	9875765	9737924	58441	10258	69142	741004	0	741004	8879479
inf196Cat1T2n1	9856046	9690018	103957	16955	45116	6769	2	6771	9663780
inf196Cat1T3n1	8363669	8211746	87208	14052	50663	14693	4	14697	8125003
inf196Cat1T4n1	7562265	7438042	68690	10340	45193	14119	2	14121	7404697
inf196Cat1T5n1	9649702	9482135	105841	13886	47840	26520	0	26520	9423398
inf196Cat1T6n1	7329162	7212953	67634	12244	36331	17721	0	17721	7155469
inf196Cat1T7n1	8424393	8308543	70186	12474	33190	57823	0	57823	8212411
inf196Cat1T8n1	8625863	8510845	64122	13293	37603	20403	1	20404	8445926
inf197Cat1T2n1	8863597	8760883	65625	10716	26373	5965	1	5966	8744560
inf197Cat1T3n1	7013769	6921661	50847	8894	32367	3819	0	3819	6906922
inf197Cat1T4n1	7324624	7228310	45208	7631	43475	16264	0	16264	7194532
inf197Cat1T5n1	9424308	9311784	67395	10420	34709	31661	1	31662	9258688
inf197Cat1T6n1	7339790	7263555	39883	8294	28058	8417	0	8417	7234889
inf197Cat1T7n1	11071276	10922602	61108	12471	75095	4917	1	4918	10853308
inf197Cat1T8n1	9306994	9169409	66920	10398	60267	455828	0	455828	8662897
inf199Cat3T8n1	8961546	8670130	36945	7005	247466	4087478	1	4087479	4408654
inf201Cat1T1n1	9345165	9221879	56855	5155	61276	26665	1	26666	9156112
inf201Cat1T3n1	8556998	8308708	29547	5437	213306	7768119	0	7768119	109891
inf201Cat1T4n1	8396276	8245875	66538	14000	69863	59116	2	59118	8147245
inf201Cat1T5n1	8733144	8578568	61385	8376	84815	20306	1	20307	8517039
inf201Cat1T6n1	9616719	9470904	63997	11878	69940	10503	1	10504	9419938
inf201Cat1T7n1	9010556	8860597	65953	9536	74470	9699	0	9699	8774995
inf202Cat1T1n1	8056521	7914280	73727	7401	61113	12385	0	12385	7870089
inf202Cat1T2n1	9303092	9128520	100373	6810	67389	7307	0	7307	9077758
inf202Cat1T3n1	8438938	8305901	56543	8814	67680	21506	2	21508	8246722
inf202Cat1T4n1	10083822	9946191	79499	9813	48319	80824	2	80826	9812285
inf202Cat1T5n1	11088583	10927835	73679	9573	77496	16939	0	16939	10854749
inf202Cat1T6n1	8522514	8363459	67111	8979	82965	2345	4	2349	8321328
inf203Cat3T1n1	9633757	9356782	31528	6297	239150	8914823	1	8914824	47305
inf203Cat3T2n1	9071216	8958309	28728	5730	78449	40320	0	40320	8854442
inf203Cat3T3n1	8493119	8361203	36508	4026	91382	59674	0	59674	8197337
inf203Cat3T4n1	9415575	9190683	144307	10867	69718	23529	1	23530	9126671
inf203Cat3T5n1	8333719	8211646	56109	9572	56392	5185	1	5186	8172966
inf203Cat3T6n1	7909911	7771084	69373	12560	56894	16158	1	16159	7720688
inf203Cat3T7n1	7871984	7737909	63136	9285	61654	2163	2	2165	7706550
inf203Cat3T8n1	8488540	8344708	54927	9999	78906	3092	0	3092	8300610
inf204Cat1T0n1	8029699	7774502	29063	5015	221119	7394742	0	7394742	23686
inf204Cat1T2n1	9342473	9238601	24688	3032	76152	231042	1	231043	8831478
inf204Cat1T3n1	7453731	7349577	47664	8723	47767	22294	0	22294	7306677
inf204Cat1T4n1	8208168	8046244	66723	12095	83106	34073	3	34076	7961335
inf204Cat1T5n1	8783336	8633525	68852	10408	70551	8806	2	8808	8592543
inf204Cat1T6n1	7991614	7858591	56960	9033	67030	36785	1	36786	7784052
inf204Cat1T8n1	6501718	6421313	38287	10097	32021	1111	1	1112	6363856
inf205Cat2T1n1	10612048	10434423	80593	15067	81965	27299	1	27300	10361561
inf205Cat2T2n1	8757181	8587111	75955	12325	81790	191051	1	191052	8348169
inf205Cat2T4n1	5451896	5370353	28285	6322	46936	17788	0	17788	5327073
inf205Cat2T5n1	7635376	7516122	48726	10735	59793	10543	3	10546	7468954
inf205Cat2T6n1	10188398	10044109	56132	9444	78713	11570	1	11571	9982361
inf205Cat2T7n1	8653983	8525280	61859	10562	56282	26774	0	26774	8448724
inf205Cat2T8n1	8939104	8806756	62984	11065	58299	41775	0	41775	8709404
inf206Cat1T1n1	9732747	9561223	41093	6727	123704	6570117	1	6570118	2617523
inf206Cat1T2n1	8676028	8525706	58128	6293	85901	2724222	1	2724223	5595577
inf206Cat1T4n1	8381327	8186322	121748	11733	61524	5912	1	5913	8152590
inf206Cat1T5n1	6642308	6536128	47660	8121	50399	11753	1	11754	6501498
inf206Cat1T6n1	8867137	8705927	77350	15251	68609	87887	6	87893	8584223
inf206Cat1T7n1	8950385	8803423	67857	11174	67931	13785	1	13786	8764116
inf207Cat3T2n1	9958968	9750105	21606	4731	182526	3303080	3	3303083	6212504
inf207Cat3T4n1	8821222	8724135	24684	5914	66489	15087	0	15087	8674248
inf207Cat3T5n1	9339874	9212873	31833	6466	88702	17766	0	17766	9146452
inf207Cat3T6n1	9042008	8915360	35169	5015	86464	45774	1	45775	8821956
inf207Cat3T7n1	8888989	8757119	55098	4295	72477	56484	1	56485	8642824
inf207Cat3T8n1	9074911	8953508	34260	5834	81309	23118	2	23120	8884665
inf210Cat1T1n1	8120804	7976455	52496	9660	82193	57664	1	57665	7852977
inf210Cat1T2n1	8293202	8170106	54728	8038	60330	55845	2	55847	7968686
inf210Cat1T3n1	9669660	9505683	80703	12080	71194	303085	2	303087	9144972
inf210Cat1T5n1	8812781	8650334	65608	10158	86681	35182	1	35183	8577484
inf210Cat1T6n1	7620814	7468309	75148	6825	70532	11602	1	11603	7403542
mockdna1	1984100	1961352	8867	1220	12661	446	0	446	1958515
mockdna2	1973992	1950428	7649	1471	14444	436	0	436	1947636
mockdna3	1467469	1450675	8766	777	7251	291	0	291	1448457
mockdna4	1708753	1692763	7464	1412	7114	291	2	293	1690068
mockdna5	2037980	2010537	8173	1236	18034	317	1	318	2007693
